id	lugar	centros_total	plazas_total	plazas_concertadas	porc_concertadas	abrev
2	Albacete	16	1512	725	47.9497354497354	ALB
3	Alicante/Alacant	44	4109	1937	47.140423460695999	ALC
4	Almería	18	1776	1058	59.572072072072103	ALM
1	Araba/Álava	17	729	381	52.2633744855967	AL
33	Asturias	40	4276	1660	38.821328344247	AST
5	Ávila	9	962	214	22.2453222453222	AV
6	Badajoz	13	1444	768	53.185595567866997	BA
7	Balears (Illes)	15	1727	1003	58.0775911986103	IB
8	Barcelona	382	25650	13686	53.356725146198798	BAR
48	Bizkaia	95	5999	3962	66.044340723453899	BIZ
9	Burgos	15	1117	225	20.143240823634699	BU
10	Cáceres	13	1374	489	35.589519650654999	CAC
11	Cádiz	30	2842	1748	61.505981703026002	CAD
39	Cantabria	45	4992	3590	71.915064102564102	CAN
12	Castellón/Castelló	15	1281	885	69.086651053864202	CT
51	Ceuta	1	42	42	100	CE
13	Ciudad Real	33	2916	1304	44.718792866941001	CR
14	Córdoba	37	2950	1798	60.9491525423729	CO
15	Coruña (A)	18	2369	893	37.695230054875502	AC
16	Cuenca	24	1835	994	54.168937329700299	CU
20	Gipuzkoa	32	2907	2385	82.043343653250801	GUI
17	Girona	39	2534	1619	63.891081294396201	GI
18	Granada	28	2273	1183	52.045754509458902	GR
19	Guadalajara	15	1593	460	28.876333961079698	GU
21	Huelva	25	1651	1062	64.324651726226506	H
22	Huesca	12	917	424	46.237731733914899	HU
23	Jaén	24	1809	1049	57.987838584853499	JA
24	León	19	2051	546	26.6211604095563	LE
25	Lleida	47	2994	1763	58.8844355377421	LL
27	Lugo	12	1611	584	36.250775915580398	LU
28	Madrid	139	21871	10827	49.503909286269497	MD
29	Málaga	42	3420	1965	57.456140350877199	MA
0	Media nacional	1806	160330	81820	51.032245992640199	NAC
52	Melilla	1	111	100	90.090090090090101	ME
30	Murcia	37	3649	2441	66.8950397369142	MC
31	Navarra	28	2653	1471	55.446664153788198	NA
32	Ourense	22	2161	760	35.168903285516002	OU
34	Palencia	9	998	344	34.4689378757515	PA
35	Palmas (Las)	3	168	55	32.738095238095198	LP
36	Pontevedra	15	1749	890	50.886220697541503	PO
26	Rioja (La)	10	1225	621	50.6938775510204	RI
37	Salamanca	15	1805	313	17.340720221606599	SA
38	Santa Cruz de Tenerife	9	794	474	59.697732997481097	STC
40	Segovia	7	684	81	11.842105263157899	SG
41	Sevilla	60	4240	2755	64.9764150943396	SE
42	Soria	4	205	86	41.951219512195102	SO
43	Tarragona	45	3793	2400	63.274452939625597	TA
44	Teruel	7	451	200	44.345898004434602	TE
45	Toledo	48	4273	1215	28.43435525392	TO
46	Valencia/València	82	7674	3825	49.843627834245503	V
47	Valladolid	15	1893	412	21.7643951399894	VA
49	Zamora	15	1496	398	26.604278074866301	Z
50	Zaragoza	60	4775	1750	36.649214659685903	ZA
